LBA,Frequency
3154137088,84631
3154132992,84630
1545916416,26520
3154124800,25123
3154128896,25122
1911123968,17680
3238117376,17365
682053632,17132
605753344,16476
605736960,16472
3234811904,13776
3239907328,13653
3239911424,11515
3239890944,9150
1911124480,8840
1911129088,8840
1911133184,8840
157487104,8154
3233452032,8149
1911137280,7931
1911141376,7864
1911145472,7818
1555697664,7607
1556205568,7595
1545932800,7585
1545949184,7585
1505263616,6783
2132267008,5657
1912807424,5436
2132242432,4067
717049856,3738
1505304576,3694
1505255424,2852
1912807936,2718
1912813568,2718
1912809472,2718
1912817664,2707
1912821760,2701
157716480,2701
159961088,2697
158568448,2683
160239616,2651
1912829952,2632
160174080,2632
159698944,2632
159780864,2632
1912838144,2631
1912846336,2631
1912854528,2631
160022528,2631
1912842240,2630
1912862720,2630
1912858624,2630
1912850432,2630
1912870912,2630
160157696,2630
159764480,2630
159109120,2630
2132275200,2491
1505247232,2378
3221598208,1946
2132250624,1939
1504501760,1917
3221606400,1906
3221237760,1577
1505001472,1531
1503420416,1374
3223552000,1225
1534640128,1222
1504665600,1208
4480032768,1186
1534660608,1114
1504542720,1040
2123427840,1039
3221901312,1028
3224584192,1001
2122960896,995
2132217856,967
1554534400,954
1501732864,939
1502322688,902
9099567104,857
2123624448,831
1503535104,827
2119725056,823
2125328384,818
2132234240,814
9100021760,800
2132209664,792
2125926400,792
2124435456,780
9099886592,779
2126630912,779
3224588288,771
1502208000,766
1502945280,760
9099681792,755
2119118848,737
9099640832,728
1504313344,727
9100066816,724
9099808768,723
2121461760,720
2132283392,718
1502904320,718
2128621568,704
2125672448,681
4517408768,673
9099698176,652
1503313920,645
9099726848,642
2122887168,640
4447617024,634
2129874944,632
1505026048,613
2125451264,591
545345536,582
1504296960,578
1924816896,574
1503731712,572
8511623168,561
8169029632,560
2129580032,549
8770056192,548
1358458880,547
1777963008,546
8650833920,542
17022791680,540
14985465856,539
1925079040,539
16576802816,538
17117884416,537
2125967360,534
709775360,532
4458532864,530
16575397888,527
8473661440,527
8373030912,526
15299719168,526
8443101184,524
1505271808,524
525246464,523
9099653120,522
16690675712,521
737492992,515
16632631296,515
8860815360,513
17072193536,513
15238225920,513
8451743744,512
17039441920,511
16509030400,510
8162238464,509
8837046272,507
1393557504,507
1501552640,505
2121707520,504
81817600,503
2127818752,503
1778028544,503
1924882432,503
8807129088,502
8447479808,501
2988236800,501
8764260352,500
15058726912,498
8841584640,497
10532122624,496
10532257792,496
1300365312,495
8894820352,494
8604438528,493
15125614592,493
8169095168,493
866410496,492
14943621120,491
506843136,490
525312000,490
8667578368,489
10730614784,489
17025470464,489
1358524416,489
8806342656,489
14943363072,488
8860880896,488
8511688704,488
16690741248,487
14985531392,487
16576868352,487
8759336960,486
8707891200,486
1059418112,486
8411590656,485
1503272960,485
17121730560,485
8770121728,485
10700615680,484
8386510848,484
4735258624,484
17268211712,483
10522988544,481
8708001792,480
16570957824,479
16575463424,478
8689618944,477
8660004864,477
446668800,476
8807194624,475
16744370176,474
16509095936,474
17114247168,473
8763793408,473
3869380608,473
866476032,473
4679880704,472
8473726976,472
5466492928,472
16632696832,471
17106370560,470
17022857216,470
8767287296,469
16609763328,469
16594268160,468
8371740672,467
1787686912,467
1925144576,467
9099603968,465
4423012352,465
8837111808,465
8801685504,463
10532323328,462
1911149568,461
17039507456,461
8798113792,460
16598388736,460
10532188160,460
1042128896,460
186101760,458
2132176896,456
17020215296,454
8051810304,454
2993901568,454
8451809280,453
1504124928,450
1416876032,450
15299784704,450
14984368128,448
2124271616,448
8707956736,447
9221533696,447
1501757440,446
8368492544,446
8399392768,446
17118203904,445
2874613760,444
2123436032,444
16623697920,444
446734336,444
2125697024,443
15087386624,443
606085120,442
8770523136,441
8764325888,441
1504051200,440
1491959808,439
8802627584,437
2125795328,435
2130530304,435
3860918272,433
1517203456,433
15059185664,433
10638987264,432
8155312128,431
2131832832,431
4735324160,431
2129088512,428
607678464,427
2125754368,427
3234689024,426
512622592,426
14936092672,425
8386576384,421
8689684480,421
16633970688,419
8371806208,419
10546548736,418
15237361664,416
1563320320,415
16625512448,414
16496168960,413
737558528,413
17118728192,413
8767352832,412
17117949952,412
2128998400,408
16571023360,408
8708067328,407
16643457024,406
16507342848,406
8765878272,406
9221599232,406
1463226368,405
15215738880,405
2893406208,405
17118015488,404
8765845504,402
2465980416,402
4333707264,402
1793658880,399
2125402112,398
1502666752,398
2120945664,398
8763858944,398
17022935040,398
3224551424,397
2124328960,397
17114361856,396
1493958656,394
17063833600,394
1564180480,393
15125680128,393
1441652736,392
2130735104,392
14943428608,392
546893824,390
14943494144,388
4679946240,387
8650899456,387
4674641920,386
4680011776,386
1504681984,385
8650964992,385
15125745664,385
1400561664,380
2132004864,378
8759402496,378
4332810240,378
2888294400,376
2128818176,375
17020477440,373
10639413248,373
1793724416,373
2125025280,372
17067933696,371
2124648448,371
17268277248,369
17118793728,369
1502134272,368
17081274368,368
266526720,366
8760188928,364
8182636544,361
17039216640,361
4334342144,360
8802824192,359
8802889728,359
17020280832,357
17020346368,357
8289222656,356
17020542976,355
17268342784,354
1503936512,353
8802758656,353
17121796096,353
2131668992,352
17159532544,352
14952755200,351
10554105856,351
17112309760,350
1492209664,349
17268408320,348
186720256,347
8702840832,347
10700664832,347
1534656512,346
8802693120,346
17121861632,346
616046592,345
2126295040,344
17268473856,344
1332273152,343
607649792,340
4458659840,340
15129841664,338
2125467648,337
8772005888,337
4458594304,337
8667709440,335
2465116160,334
16615661568,334
8613945344,333
2129022976,333
2129907712,333
2128097280,333
8667643904,333
14984945664,333
2132070400,332
17109405696,330
2132103168,329
8766042112,329
17160548352,328
16863899648,327
17044934656,327
299229184,326
17103716352,326
2129973248,324
2667745280,323
17106436096,323
9193840640,322
15058944000,319
552296448,318
8798179328,318
8798244864,317
16506347520,316
2130366464,316
4609273856,315
8798310400,313
8798375936,312
1505280000,311
1502068736,311
2121011200,310
2946621440,310
17118830592,310
15221882880,309
16594399232,308
16594333696,307
1502953472,306
8798441472,306
2118963200,306
4331270144,305
8798507008,304
17121914880,304
16594464768,302
17118334976,301
17118269440,301
17034481664,301
17160613888,301
4335198208,301
10584813568,299
2121805824,299
17068376064,299
16624156672,299
16576487424,297
17072168960,295
8443166720,295
4423061504,295
8614010880,294
2128572416,293
8660070400,293
8708186112,292
8801816576,292
5367001088,292
17199087616,291
4636962816,291
17118707712,291
8801751040,291
8660135936,291
14954332160,290
8443232256,290
8760254464,289
3861114880,289
3861049344,289
17118445568,288
8660201472,288
17118613504,288
8399458304,287
2126409728,286
3860983808,286
8801882112,286
15031869440,286
1501683712,285
15237427200,285
155365376,285
540971008,285
16609812480,285
15058845696,285
2131742720,284
8760320000,284
14985596928,284
15237558272,283
2127171584,282
2132062208,282
17045000192,282
16507736064,282
8760385536,282
61280256,282
15237492736,281
16507670528,281
8660267008,281
14984761344,281
14984695808,281
10730680320,281
3861180416,281
10639380480,281
16413970432,280
15237689344,280
16507473920,280
14984630272,280
14984433664,280
17045131264,280
15237623808,279
15237820416,279
14984499200,279
17045065728,279
8760451072,279
14984564736,279
17068171264,279
3861245952,279
4480106496,278
15237754880,278
16507539456,278
10639314944,278
63311872,278
8155377664,277
10546745344,277
16507408384,277
17124876288,277
15237885952,276
16507801600,276
16507604992,276
17121980416,276
615325696,275
10546679808,275
10546810880,275
3861311488,275
15087452160,275
10639249408,275
9193906176,275
8155508736,274
10546614272,274
17022124032,273
15084945408,273
9193639936,273
217530368,272
15044374528,272
10546876416,272
10639052800,272
15234539520,272
288587776,271
4480110592,271
15059009536,271
8155443200,270
8760778752,270
17069596672,270
3869814784,270
10639183872,270
1556238336,269
17106694144,269
15087517696,269
10639118336,269
8155840512,269
2459443200,268
10546941952,268
15059251200,268
8498196480,268
10730700800,268
16963321856,268
15087583232,267
1158619136,265
15059316736,265
16634032128,264
15059447808,264
8768057344,264
15059382272,263
8151269376,262
16634490880,261
16634228736,261
8765943808,261
17118896128,261
1504223232,260
16634425344,260
16634163200,260
16634097664,260
15059513344,260
16615563264,260
8155639808,259
8155574272,259
8155705344,259
16634359808,259
16634294272,259
8625123328,259
8766009344,259
545280000,257
8766107648,256
8155770880,255
4667355136,254
2130022400,252
8498262016,252
8498323456,252
1525485568,251
8368558080,251
