Episode: 0    , Workload: 0 , Epsilon: 0.20, Reward: 786908.05   
Episode: 1    , Workload: 0 , Epsilon: 0.20, Reward: 1077646.05  
Episode: 2    , Workload: 0 , Epsilon: 0.20, Reward: 697580.74   
Episode: 3    , Workload: 0 , Epsilon: 0.20, Reward: 628431.78   
Episode: 4    , Workload: 0 , Epsilon: 0.20, Reward: 946185.64   
Episode: 5    , Workload: 0 , Epsilon: 0.19, Reward: 650705.28   
Episode: 6    , Workload: 0 , Epsilon: 0.19, Reward: 839647.67   
Episode: 7    , Workload: 0 , Epsilon: 0.19, Reward: 850513.84   
Episode: 8    , Workload: 0 , Epsilon: 0.19, Reward: 742300.05   
Episode: 9    , Workload: 0 , Epsilon: 0.19, Reward: 816317.60   
Episode: 10   , Workload: 0 , Epsilon: 0.19, Reward: 845482.70   
Episode: 11   , Workload: 0 , Epsilon: 0.19, Reward: 1324045.38  
Episode: 12   , Workload: 0 , Epsilon: 0.19, Reward: 767011.30   
Episode: 13   , Workload: 0 , Epsilon: 0.18, Reward: 1831332.90  
Episode: 14   , Workload: 0 , Epsilon: 0.18, Reward: 1003053.68  
Episode: 15   , Workload: 0 , Epsilon: 0.18, Reward: 882827.43   
Episode: 16   , Workload: 0 , Epsilon: 0.18, Reward: 1480785.95  
Episode: 17   , Workload: 0 , Epsilon: 0.18, Reward: 939972.35   
Episode: 18   , Workload: 0 , Epsilon: 0.18, Reward: 1026553.99  
Episode: 19   , Workload: 0 , Epsilon: 0.18, Reward: 794590.33   
Episode: 20   , Workload: 0 , Epsilon: 0.18, Reward: 769544.48   
Episode: 21   , Workload: 0 , Epsilon: 0.18, Reward: 1065518.25  
Episode: 22   , Workload: 0 , Epsilon: 0.17, Reward: 703184.37   
Episode: 23   , Workload: 0 , Epsilon: 0.17, Reward: 687927.08   
Episode: 24   , Workload: 0 , Epsilon: 0.17, Reward: 932468.02   
Episode: 25   , Workload: 0 , Epsilon: 0.17, Reward: 630237.69   
Episode: 26   , Workload: 0 , Epsilon: 0.17, Reward: 800081.82   
Episode: 27   , Workload: 0 , Epsilon: 0.17, Reward: 919228.40   
Episode: 28   , Workload: 0 , Epsilon: 0.17, Reward: 762844.82   
Episode: 29   , Workload: 0 , Epsilon: 0.17, Reward: 810924.17   
Episode: 30   , Workload: 0 , Epsilon: 0.17, Reward: 818461.47   
Episode: 31   , Workload: 0 , Epsilon: 0.16, Reward: 1332048.36  
Episode: 32   , Workload: 0 , Epsilon: 0.16, Reward: 711808.31   
Episode: 33   , Workload: 0 , Epsilon: 0.16, Reward: 1836569.11  
Episode: 34   , Workload: 0 , Epsilon: 0.16, Reward: 991748.74   
Episode: 35   , Workload: 0 , Epsilon: 0.16, Reward: 885927.91   
Episode: 36   , Workload: 0 , Epsilon: 0.16, Reward: 1518681.74  
Episode: 37   , Workload: 0 , Epsilon: 0.16, Reward: 946508.74   
Episode: 38   , Workload: 0 , Epsilon: 0.16, Reward: 1033195.68  
Episode: 39   , Workload: 0 , Epsilon: 0.16, Reward: 853677.48   
Episode: 40   , Workload: 0 , Epsilon: 0.16, Reward: 746057.21   
Episode: 41   , Workload: 0 , Epsilon: 0.15, Reward: 1108952.29  
Episode: 42   , Workload: 0 , Epsilon: 0.15, Reward: 702667.42   
Episode: 43   , Workload: 0 , Epsilon: 0.15, Reward: 654932.81   
Episode: 44   , Workload: 0 , Epsilon: 0.15, Reward: 955705.10   
Episode: 45   , Workload: 0 , Epsilon: 0.15, Reward: 691994.65   
Episode: 46   , Workload: 0 , Epsilon: 0.15, Reward: 840900.52   
Episode: 47   , Workload: 0 , Epsilon: 0.15, Reward: 881599.07   
Episode: 48   , Workload: 0 , Epsilon: 0.15, Reward: 766072.53   
Episode: 49   , Workload: 0 , Epsilon: 0.15, Reward: 830743.96   
