Episode: 0    , Workload: 0 , Epsilon: 0.20, Reward: 2119620.73  
Episode: 1    , Workload: 0 , Epsilon: 0.20, Reward: 2298506.04  
Episode: 2    , Workload: 0 , Epsilon: 0.20, Reward: 1820870.04  
Episode: 3    , Workload: 0 , Epsilon: 0.20, Reward: 2078510.87  
Episode: 4    , Workload: 0 , Epsilon: 0.20, Reward: 2274444.42  
Episode: 5    , Workload: 0 , Epsilon: 0.19, Reward: 2298265.66  
Episode: 6    , Workload: 0 , Epsilon: 0.19, Reward: 2575075.92  
Episode: 7    , Workload: 0 , Epsilon: 0.19, Reward: 1124722.09  
Episode: 8    , Workload: 0 , Epsilon: 0.19, Reward: 1142470.19  
Episode: 9    , Workload: 0 , Epsilon: 0.19, Reward: 2107155.33  
Episode: 10   , Workload: 0 , Epsilon: 0.19, Reward: 1262509.83  
Episode: 11   , Workload: 0 , Epsilon: 0.19, Reward: 1488144.52  
Episode: 12   , Workload: 0 , Epsilon: 0.19, Reward: 2189767.22  
Episode: 13   , Workload: 0 , Epsilon: 0.18, Reward: 1571131.80  
Episode: 14   , Workload: 0 , Epsilon: 0.18, Reward: 1956756.77  
Episode: 15   , Workload: 0 , Epsilon: 0.18, Reward: 2096472.73  
Episode: 16   , Workload: 0 , Epsilon: 0.18, Reward: 2189901.33  
Episode: 17   , Workload: 0 , Epsilon: 0.18, Reward: 1206768.84  
Episode: 18   , Workload: 0 , Epsilon: 0.18, Reward: 2083601.59  
Episode: 19   , Workload: 0 , Epsilon: 0.18, Reward: 2080266.83  
Episode: 20   , Workload: 0 , Epsilon: 0.18, Reward: 2112675.86  
Episode: 21   , Workload: 0 , Epsilon: 0.18, Reward: 2275338.79  
Episode: 22   , Workload: 0 , Epsilon: 0.17, Reward: 1839586.06  
Episode: 23   , Workload: 0 , Epsilon: 0.17, Reward: 2094568.06  
Episode: 24   , Workload: 0 , Epsilon: 0.17, Reward: 2250057.86  
