Episode: 0    , Workload: 0 , Epsilon: 0.20, Reward: 532573.23   
Episode: 1    , Workload: 0 , Epsilon: 0.20, Reward: 630491.96   
Episode: 2    , Workload: 0 , Epsilon: 0.20, Reward: 590550.39   
Episode: 3    , Workload: 0 , Epsilon: 0.20, Reward: 676799.39   
Episode: 4    , Workload: 0 , Epsilon: 0.20, Reward: 432419.97   
Episode: 5    , Workload: 0 , Epsilon: 0.19, Reward: 457003.47   
Episode: 6    , Workload: 0 , Epsilon: 0.19, Reward: 710124.90   
Episode: 7    , Workload: 0 , Epsilon: 0.19, Reward: 708820.10   
Episode: 8    , Workload: 0 , Epsilon: 0.19, Reward: 554510.86   
Episode: 9    , Workload: 0 , Epsilon: 0.19, Reward: 375360.41   
Episode: 10   , Workload: 0 , Epsilon: 0.19, Reward: 468132.98   
Episode: 11   , Workload: 0 , Epsilon: 0.19, Reward: 777221.80   
Episode: 12   , Workload: 0 , Epsilon: 0.19, Reward: 666935.00   
Episode: 13   , Workload: 0 , Epsilon: 0.18, Reward: 419360.50   
Episode: 14   , Workload: 0 , Epsilon: 0.18, Reward: 704102.98   
Episode: 15   , Workload: 0 , Epsilon: 0.18, Reward: 548950.83   
Episode: 16   , Workload: 0 , Epsilon: 0.18, Reward: 426062.99   
Episode: 17   , Workload: 0 , Epsilon: 0.18, Reward: 418374.31   
Episode: 18   , Workload: 0 , Epsilon: 0.18, Reward: 369998.91   
Episode: 19   , Workload: 0 , Epsilon: 0.18, Reward: 504538.61   
Episode: 20   , Workload: 0 , Epsilon: 0.18, Reward: 817308.51   
Episode: 21   , Workload: 0 , Epsilon: 0.18, Reward: 535114.32   
Episode: 22   , Workload: 0 , Epsilon: 0.17, Reward: 595063.97   
Episode: 23   , Workload: 0 , Epsilon: 0.17, Reward: 601793.25   
Episode: 24   , Workload: 0 , Epsilon: 0.17, Reward: 501330.95   
