Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 1723822.93  
Episode: 1    , Workload: 1 , Epsilon: 0.95, Reward: 822012.42   
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 2043232.46  
Episode: 3    , Workload: 1 , Epsilon: 0.93, Reward: 704145.05   
Episode: 4    , Workload: 0 , Epsilon: 0.93, Reward: 1835116.10  
Episode: 5    , Workload: 1 , Epsilon: 0.92, Reward: 694184.00   
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 1606096.70  
Episode: 7    , Workload: 1 , Epsilon: 0.90, Reward: 687778.73   
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 1942711.58  
Episode: 9    , Workload: 1 , Epsilon: 0.89, Reward: 751012.21   
Episode: 10   , Workload: 0 , Epsilon: 0.88, Reward: 1677722.99  
Episode: 11   , Workload: 1 , Epsilon: 0.87, Reward: 698074.81   
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 1310438.32  
Episode: 13   , Workload: 1 , Epsilon: 0.86, Reward: 708237.90   
Episode: 14   , Workload: 0 , Epsilon: 0.85, Reward: 1443994.59  
Episode: 15   , Workload: 1 , Epsilon: 0.84, Reward: 713518.25   
Episode: 16   , Workload: 0 , Epsilon: 0.84, Reward: 1404910.79  
Episode: 17   , Workload: 1 , Epsilon: 0.83, Reward: 790324.19   
Episode: 18   , Workload: 0 , Epsilon: 0.82, Reward: 1669920.83  
Episode: 19   , Workload: 1 , Epsilon: 0.81, Reward: 809714.53   
Episode: 20   , Workload: 0 , Epsilon: 0.81, Reward: 1250698.85  
Episode: 21   , Workload: 1 , Epsilon: 0.80, Reward: 677007.88   
Episode: 22   , Workload: 0 , Epsilon: 0.79, Reward: 1708485.03  
Episode: 23   , Workload: 1 , Epsilon: 0.79, Reward: 727588.19   
Episode: 24   , Workload: 0 , Epsilon: 0.78, Reward: 2128464.10  
Episode: 25   , Workload: 1 , Epsilon: 0.77, Reward: 754771.82   
Episode: 26   , Workload: 0 , Epsilon: 0.77, Reward: 1983415.24  
Episode: 27   , Workload: 1 , Epsilon: 0.76, Reward: 714626.59   
Episode: 28   , Workload: 0 , Epsilon: 0.75, Reward: 913298.74   
Episode: 29   , Workload: 1 , Epsilon: 0.75, Reward: 709488.54   
Episode: 30   , Workload: 0 , Epsilon: 0.74, Reward: 855478.03   
Episode: 31   , Workload: 1 , Epsilon: 0.74, Reward: 656875.81   
Episode: 32   , Workload: 0 , Epsilon: 0.73, Reward: 1460650.92  
Episode: 33   , Workload: 1 , Epsilon: 0.72, Reward: 751455.49   
Episode: 34   , Workload: 0 , Epsilon: 0.72, Reward: 1051420.56  
Episode: 35   , Workload: 1 , Epsilon: 0.71, Reward: 683923.88   
Episode: 36   , Workload: 0 , Epsilon: 0.70, Reward: 1417217.77  
Episode: 37   , Workload: 1 , Epsilon: 0.70, Reward: 812672.96   
Episode: 38   , Workload: 0 , Epsilon: 0.69, Reward: 1823903.68  
Episode: 39   , Workload: 1 , Epsilon: 0.69, Reward: 699942.29   
Episode: 40   , Workload: 0 , Epsilon: 0.68, Reward: 1677676.37  
Episode: 41   , Workload: 1 , Epsilon: 0.68, Reward: 765365.80   
Episode: 42   , Workload: 0 , Epsilon: 0.67, Reward: 1975342.74  
Episode: 43   , Workload: 1 , Epsilon: 0.66, Reward: 784086.34   
Episode: 44   , Workload: 0 , Epsilon: 0.66, Reward: 1825746.89  
Episode: 45   , Workload: 1 , Epsilon: 0.65, Reward: 720672.20   
Episode: 46   , Workload: 0 , Epsilon: 0.65, Reward: 1637311.10  
Episode: 47   , Workload: 1 , Epsilon: 0.64, Reward: 763978.77   
Episode: 48   , Workload: 0 , Epsilon: 0.64, Reward: 1846835.03  
Episode: 49   , Workload: 1 , Epsilon: 0.63, Reward: 714213.93   
Episode: 50   , Workload: 0 , Epsilon: 0.63, Reward: 1698209.95  
Episode: 51   , Workload: 1 , Epsilon: 0.62, Reward: 673856.35   
Episode: 52   , Workload: 0 , Epsilon: 0.62, Reward: 1284670.32  
Episode: 53   , Workload: 1 , Epsilon: 0.61, Reward: 679795.28   
Episode: 54   , Workload: 0 , Epsilon: 0.61, Reward: 1449849.75  
Episode: 55   , Workload: 1 , Epsilon: 0.60, Reward: 683001.14   
Episode: 56   , Workload: 0 , Epsilon: 0.60, Reward: 1381934.34  
Episode: 57   , Workload: 1 , Epsilon: 0.59, Reward: 706891.09   
Episode: 58   , Workload: 0 , Epsilon: 0.59, Reward: 1672559.98  
Episode: 59   , Workload: 1 , Epsilon: 0.58, Reward: 996123.23   
Episode: 60   , Workload: 0 , Epsilon: 0.58, Reward: 1295407.00  
Episode: 61   , Workload: 1 , Epsilon: 0.57, Reward: 731655.32   
Episode: 62   , Workload: 0 , Epsilon: 0.57, Reward: 1676648.42  
Episode: 63   , Workload: 1 , Epsilon: 0.56, Reward: 720864.15   
Episode: 64   , Workload: 0 , Epsilon: 0.56, Reward: 2024533.23  
Episode: 65   , Workload: 1 , Epsilon: 0.55, Reward: 737576.22   
Episode: 66   , Workload: 0 , Epsilon: 0.55, Reward: 1946788.36  
Episode: 67   , Workload: 1 , Epsilon: 0.54, Reward: 783180.23   
Episode: 68   , Workload: 0 , Epsilon: 0.54, Reward: 901818.75   
Episode: 69   , Workload: 1 , Epsilon: 0.54, Reward: 780107.79   
Episode: 70   , Workload: 0 , Epsilon: 0.53, Reward: 867567.02   
Episode: 71   , Workload: 1 , Epsilon: 0.53, Reward: 828377.49   
Episode: 72   , Workload: 0 , Epsilon: 0.52, Reward: 1481395.23  
Episode: 73   , Workload: 1 , Epsilon: 0.52, Reward: 692130.57   
Episode: 74   , Workload: 0 , Epsilon: 0.51, Reward: 1038673.32  
Episode: 75   , Workload: 1 , Epsilon: 0.51, Reward: 767057.57   
Episode: 76   , Workload: 0 , Epsilon: 0.51, Reward: 1409788.72  
Episode: 77   , Workload: 1 , Epsilon: 0.50, Reward: 782106.17   
Episode: 78   , Workload: 0 , Epsilon: 0.50, Reward: 1701743.94  
Episode: 79   , Workload: 1 , Epsilon: 0.49, Reward: 665890.40   
Episode: 80   , Workload: 0 , Epsilon: 0.49, Reward: 1684082.81  
Episode: 81   , Workload: 1 , Epsilon: 0.48, Reward: 786977.92   
Episode: 82   , Workload: 0 , Epsilon: 0.48, Reward: 2037564.74  
Episode: 83   , Workload: 1 , Epsilon: 0.48, Reward: 921591.55   
Episode: 84   , Workload: 0 , Epsilon: 0.47, Reward: 1833385.61  
Episode: 85   , Workload: 1 , Epsilon: 0.47, Reward: 751826.55   
Episode: 86   , Workload: 0 , Epsilon: 0.47, Reward: 1604851.67  
Episode: 87   , Workload: 1 , Epsilon: 0.46, Reward: 782010.60   
Episode: 88   , Workload: 0 , Epsilon: 0.46, Reward: 1828694.76  
Episode: 89   , Workload: 1 , Epsilon: 0.45, Reward: 776288.21   
Episode: 90   , Workload: 0 , Epsilon: 0.45, Reward: 1594306.01  
Episode: 91   , Workload: 1 , Epsilon: 0.45, Reward: 724671.99   
Episode: 92   , Workload: 0 , Epsilon: 0.44, Reward: 1311536.85  
Episode: 93   , Workload: 1 , Epsilon: 0.44, Reward: 889358.54   
Episode: 94   , Workload: 0 , Epsilon: 0.44, Reward: 1414303.23  
Episode: 95   , Workload: 1 , Epsilon: 0.43, Reward: 801500.28   
Episode: 96   , Workload: 0 , Epsilon: 0.43, Reward: 1405837.85  
Episode: 97   , Workload: 1 , Epsilon: 0.43, Reward: 646842.06   
Episode: 98   , Workload: 0 , Epsilon: 0.42, Reward: 1689003.33  
Episode: 99   , Workload: 1 , Epsilon: 0.42, Reward: 788010.93   
Episode: 100  , Workload: 0 , Epsilon: 0.42, Reward: 1281779.00  
Episode: 101  , Workload: 1 , Epsilon: 0.41, Reward: 771135.38   
Episode: 102  , Workload: 0 , Epsilon: 0.41, Reward: 1538858.30  
Episode: 103  , Workload: 1 , Epsilon: 0.41, Reward: 697153.08   
Episode: 104  , Workload: 0 , Epsilon: 0.40, Reward: 1971655.78  
Episode: 105  , Workload: 1 , Epsilon: 0.40, Reward: 772330.20   
Episode: 106  , Workload: 0 , Epsilon: 0.40, Reward: 1901554.71  
Episode: 107  , Workload: 1 , Epsilon: 0.39, Reward: 878938.97   
Episode: 108  , Workload: 0 , Epsilon: 0.39, Reward: 902020.27   
Episode: 109  , Workload: 1 , Epsilon: 0.39, Reward: 715307.44   
Episode: 110  , Workload: 0 , Epsilon: 0.38, Reward: 909394.09   
Episode: 111  , Workload: 1 , Epsilon: 0.38, Reward: 784213.21   
Episode: 112  , Workload: 0 , Epsilon: 0.38, Reward: 1474047.67  
Episode: 113  , Workload: 1 , Epsilon: 0.38, Reward: 774761.85   
Episode: 114  , Workload: 0 , Epsilon: 0.37, Reward: 1040357.49  
Episode: 115  , Workload: 1 , Epsilon: 0.37, Reward: 693348.69   
Episode: 116  , Workload: 0 , Epsilon: 0.37, Reward: 1422552.76  
Episode: 117  , Workload: 1 , Epsilon: 0.36, Reward: 824209.65   
Episode: 118  , Workload: 0 , Epsilon: 0.36, Reward: 1800250.92  
Episode: 119  , Workload: 1 , Epsilon: 0.36, Reward: 892228.96   
Episode: 120  , Workload: 0 , Epsilon: 0.36, Reward: 1648485.50  
Episode: 121  , Workload: 1 , Epsilon: 0.35, Reward: 736853.87   
Episode: 122  , Workload: 0 , Epsilon: 0.35, Reward: 1928268.17  
Episode: 123  , Workload: 1 , Epsilon: 0.35, Reward: 729742.43   
Episode: 124  , Workload: 0 , Epsilon: 0.34, Reward: 1858239.97  
Episode: 125  , Workload: 1 , Epsilon: 0.34, Reward: 882661.41   
Episode: 126  , Workload: 0 , Epsilon: 0.34, Reward: 1607203.00  
Episode: 127  , Workload: 1 , Epsilon: 0.34, Reward: 695054.19   
Episode: 128  , Workload: 0 , Epsilon: 0.33, Reward: 1814070.48  
Episode: 129  , Workload: 1 , Epsilon: 0.33, Reward: 728314.75   
Episode: 130  , Workload: 0 , Epsilon: 0.33, Reward: 1616118.99  
Episode: 131  , Workload: 1 , Epsilon: 0.33, Reward: 923153.23   
Episode: 132  , Workload: 0 , Epsilon: 0.32, Reward: 1284961.55  
Episode: 133  , Workload: 1 , Epsilon: 0.32, Reward: 712045.49   
Episode: 134  , Workload: 0 , Epsilon: 0.32, Reward: 1423596.44  
Episode: 135  , Workload: 1 , Epsilon: 0.32, Reward: 803444.33   
Episode: 136  , Workload: 0 , Epsilon: 0.31, Reward: 1442344.50  
Episode: 137  , Workload: 1 , Epsilon: 0.31, Reward: 885153.31   
Episode: 138  , Workload: 0 , Epsilon: 0.31, Reward: 1694870.34  
Episode: 139  , Workload: 1 , Epsilon: 0.31, Reward: 784449.54   
Episode: 140  , Workload: 0 , Epsilon: 0.30, Reward: 1278075.60  
Episode: 141  , Workload: 1 , Epsilon: 0.30, Reward: 882272.02   
Episode: 142  , Workload: 0 , Epsilon: 0.30, Reward: 1615295.31  
Episode: 143  , Workload: 1 , Epsilon: 0.30, Reward: 819230.03   
Episode: 144  , Workload: 0 , Epsilon: 0.30, Reward: 2050974.55  
Episode: 145  , Workload: 1 , Epsilon: 0.29, Reward: 666192.08   
Episode: 146  , Workload: 0 , Epsilon: 0.29, Reward: 1878556.07  
Episode: 147  , Workload: 1 , Epsilon: 0.29, Reward: 704755.82   
Episode: 148  , Workload: 0 , Epsilon: 0.29, Reward: 924613.33   
Episode: 149  , Workload: 1 , Epsilon: 0.28, Reward: 764944.59   
Episode: 150  , Workload: 0 , Epsilon: 0.28, Reward: 925089.86   
Episode: 151  , Workload: 1 , Epsilon: 0.28, Reward: 718665.45   
Episode: 152  , Workload: 0 , Epsilon: 0.28, Reward: 1487391.93  
Episode: 153  , Workload: 1 , Epsilon: 0.28, Reward: 708297.77   
Episode: 154  , Workload: 0 , Epsilon: 0.27, Reward: 1063893.77  
Episode: 155  , Workload: 1 , Epsilon: 0.27, Reward: 897721.34   
Episode: 156  , Workload: 0 , Epsilon: 0.27, Reward: 1430461.36  
Episode: 157  , Workload: 1 , Epsilon: 0.27, Reward: 720321.95   
Episode: 158  , Workload: 0 , Epsilon: 0.27, Reward: 1586619.32  
Episode: 159  , Workload: 1 , Epsilon: 0.26, Reward: 740971.15   
Episode: 160  , Workload: 0 , Epsilon: 0.26, Reward: 1687876.77  
Episode: 161  , Workload: 1 , Epsilon: 0.26, Reward: 739017.65   
Episode: 162  , Workload: 0 , Epsilon: 0.26, Reward: 1988053.95  
Episode: 163  , Workload: 1 , Epsilon: 0.26, Reward: 702260.40   
Episode: 164  , Workload: 0 , Epsilon: 0.25, Reward: 1845118.43  
Episode: 165  , Workload: 1 , Epsilon: 0.25, Reward: 914565.55   
Episode: 166  , Workload: 0 , Epsilon: 0.25, Reward: 1635786.63  
Episode: 167  , Workload: 1 , Epsilon: 0.25, Reward: 700227.98   
Episode: 168  , Workload: 0 , Epsilon: 0.25, Reward: 1746080.30  
Episode: 169  , Workload: 1 , Epsilon: 0.25, Reward: 804900.95   
Episode: 170  , Workload: 0 , Epsilon: 0.24, Reward: 1693478.77  
Episode: 171  , Workload: 1 , Epsilon: 0.24, Reward: 787190.34   
Episode: 172  , Workload: 0 , Epsilon: 0.24, Reward: 1348201.29  
Episode: 173  , Workload: 1 , Epsilon: 0.24, Reward: 740224.35   
Episode: 174  , Workload: 0 , Epsilon: 0.24, Reward: 1422192.12  
Episode: 175  , Workload: 1 , Epsilon: 0.24, Reward: 807136.26   
Episode: 176  , Workload: 0 , Epsilon: 0.23, Reward: 1434567.55  
Episode: 177  , Workload: 1 , Epsilon: 0.23, Reward: 700911.32   
Episode: 178  , Workload: 0 , Epsilon: 0.23, Reward: 1692693.08  
Episode: 179  , Workload: 1 , Epsilon: 0.23, Reward: 836276.59   
Episode: 180  , Workload: 0 , Epsilon: 0.23, Reward: 1321600.62  
Episode: 181  , Workload: 1 , Epsilon: 0.23, Reward: 854976.03   
Episode: 182  , Workload: 0 , Epsilon: 0.22, Reward: 1522415.55  
Episode: 183  , Workload: 1 , Epsilon: 0.22, Reward: 821120.56   
Episode: 184  , Workload: 0 , Epsilon: 0.22, Reward: 2054090.80  
Episode: 185  , Workload: 1 , Epsilon: 0.22, Reward: 857904.04   
Episode: 186  , Workload: 0 , Epsilon: 0.22, Reward: 2034516.99  
Episode: 187  , Workload: 1 , Epsilon: 0.22, Reward: 850484.39   
Episode: 188  , Workload: 0 , Epsilon: 0.21, Reward: 902422.75   
Episode: 189  , Workload: 1 , Epsilon: 0.21, Reward: 930628.18   
Episode: 190  , Workload: 0 , Epsilon: 0.21, Reward: 926343.74   
Episode: 191  , Workload: 1 , Epsilon: 0.21, Reward: 848494.77   
Episode: 192  , Workload: 0 , Epsilon: 0.21, Reward: 1488099.36  
Episode: 193  , Workload: 1 , Epsilon: 0.21, Reward: 811328.65   
Episode: 194  , Workload: 0 , Epsilon: 0.21, Reward: 1033585.34  
Episode: 195  , Workload: 1 , Epsilon: 0.20, Reward: 881816.38   
Episode: 196  , Workload: 0 , Epsilon: 0.20, Reward: 1391831.23  
Episode: 197  , Workload: 1 , Epsilon: 0.20, Reward: 743618.30   
Episode: 198  , Workload: 0 , Epsilon: 0.20, Reward: 1598983.35  
Episode: 199  , Workload: 1 , Epsilon: 0.20, Reward: 731220.08   
Episode: 200  , Workload: 0 , Epsilon: 0.20, Reward: 1616443.68  
Episode: 201  , Workload: 1 , Epsilon: 0.20, Reward: 742285.64   
Episode: 202  , Workload: 0 , Epsilon: 0.19, Reward: 1945273.78  
Episode: 203  , Workload: 1 , Epsilon: 0.19, Reward: 836650.36   
Episode: 204  , Workload: 0 , Epsilon: 0.19, Reward: 1816882.84  
Episode: 205  , Workload: 1 , Epsilon: 0.19, Reward: 832041.68   
Episode: 206  , Workload: 0 , Epsilon: 0.19, Reward: 1602131.20  
Episode: 207  , Workload: 1 , Epsilon: 0.19, Reward: 798108.26   
Episode: 208  , Workload: 0 , Epsilon: 0.19, Reward: 1613485.66  
Episode: 209  , Workload: 1 , Epsilon: 0.19, Reward: 756879.69   
Episode: 210  , Workload: 0 , Epsilon: 0.18, Reward: 1580215.34  
Episode: 211  , Workload: 1 , Epsilon: 0.18, Reward: 826564.09   
Episode: 212  , Workload: 0 , Epsilon: 0.18, Reward: 1320023.47  
Episode: 213  , Workload: 1 , Epsilon: 0.18, Reward: 882098.55   
Episode: 214  , Workload: 0 , Epsilon: 0.18, Reward: 1424065.19  
Episode: 215  , Workload: 1 , Epsilon: 0.18, Reward: 712106.42   
Episode: 216  , Workload: 0 , Epsilon: 0.18, Reward: 1503813.41  
Episode: 217  , Workload: 1 , Epsilon: 0.18, Reward: 727277.73   
Episode: 218  , Workload: 0 , Epsilon: 0.18, Reward: 1729656.06  
Episode: 219  , Workload: 1 , Epsilon: 0.17, Reward: 889671.38   
Episode: 220  , Workload: 0 , Epsilon: 0.17, Reward: 1331882.50  
Episode: 221  , Workload: 1 , Epsilon: 0.17, Reward: 727802.75   
Episode: 222  , Workload: 0 , Epsilon: 0.17, Reward: 1508548.27  
