Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 0.00        
Episode: 1    , Workload: 1 , Epsilon: 0.95, Reward: 0.00        
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 0.00        
Episode: 3    , Workload: 1 , Epsilon: 0.93, Reward: 0.00        
Episode: 4    , Workload: 0 , Epsilon: 0.93, Reward: 0.00        
Episode: 5    , Workload: 1 , Epsilon: 0.92, Reward: 0.00        
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 0.00        
Episode: 7    , Workload: 1 , Epsilon: 0.90, Reward: 0.00        
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 0.00        
Episode: 9    , Workload: 1 , Epsilon: 0.89, Reward: 0.00        
Episode: 10   , Workload: 0 , Epsilon: 0.88, Reward: 0.00        
Episode: 11   , Workload: 1 , Epsilon: 0.87, Reward: 0.00        
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 0.00        
Episode: 13   , Workload: 1 , Epsilon: 0.86, Reward: 0.00        
Episode: 14   , Workload: 0 , Epsilon: 0.85, Reward: 0.00        
Episode: 15   , Workload: 1 , Epsilon: 0.84, Reward: 0.00        
Episode: 16   , Workload: 0 , Epsilon: 0.84, Reward: 0.00        
Episode: 17   , Workload: 1 , Epsilon: 0.83, Reward: 0.00        
Episode: 18   , Workload: 0 , Epsilon: 0.82, Reward: 0.00        
Episode: 19   , Workload: 1 , Epsilon: 0.81, Reward: 0.00        
Episode: 20   , Workload: 0 , Epsilon: 0.81, Reward: 367.08      
Episode: 21   , Workload: 1 , Epsilon: 0.80, Reward: 0.00        
Episode: 22   , Workload: 0 , Epsilon: 0.79, Reward: 0.00        
Episode: 23   , Workload: 1 , Epsilon: 0.79, Reward: 0.00        
Episode: 24   , Workload: 0 , Epsilon: 0.78, Reward: 0.00        
Episode: 25   , Workload: 1 , Epsilon: 0.77, Reward: 0.00        
Episode: 26   , Workload: 0 , Epsilon: 0.77, Reward: 0.00        
Episode: 27   , Workload: 1 , Epsilon: 0.76, Reward: 0.00        
Episode: 28   , Workload: 0 , Epsilon: 0.75, Reward: 0.00        
Episode: 29   , Workload: 1 , Epsilon: 0.75, Reward: 0.00        
Episode: 30   , Workload: 0 , Epsilon: 0.74, Reward: 0.00        
Episode: 31   , Workload: 1 , Epsilon: 0.74, Reward: 0.00        
Episode: 32   , Workload: 0 , Epsilon: 0.73, Reward: 0.00        
Episode: 33   , Workload: 1 , Epsilon: 0.72, Reward: 0.00        
Episode: 34   , Workload: 0 , Epsilon: 0.72, Reward: 0.00        
Episode: 35   , Workload: 1 , Epsilon: 0.71, Reward: 0.00        
Episode: 36   , Workload: 0 , Epsilon: 0.70, Reward: 0.00        
Episode: 37   , Workload: 1 , Epsilon: 0.70, Reward: 0.00        
Episode: 38   , Workload: 0 , Epsilon: 0.69, Reward: 0.00        
Episode: 39   , Workload: 1 , Epsilon: 0.69, Reward: 0.00        
Episode: 40   , Workload: 0 , Epsilon: 0.68, Reward: 175.88      
Episode: 41   , Workload: 1 , Epsilon: 0.68, Reward: 0.00        
Episode: 42   , Workload: 0 , Epsilon: 0.67, Reward: 771.08      
Episode: 43   , Workload: 1 , Epsilon: 0.66, Reward: 0.00        
Episode: 44   , Workload: 0 , Epsilon: 0.66, Reward: 0.00        
Episode: 45   , Workload: 1 , Epsilon: 0.65, Reward: 0.00        
Episode: 46   , Workload: 0 , Epsilon: 0.65, Reward: 0.00        
Episode: 47   , Workload: 1 , Epsilon: 0.64, Reward: 0.00        
Episode: 48   , Workload: 0 , Epsilon: 0.64, Reward: 0.00        
Episode: 49   , Workload: 1 , Epsilon: 0.63, Reward: 0.00        
Episode: 50   , Workload: 0 , Epsilon: 0.63, Reward: 1599.12     
Episode: 51   , Workload: 1 , Epsilon: 0.62, Reward: 0.00        
Episode: 52   , Workload: 0 , Epsilon: 0.62, Reward: 6727.76     
Episode: 53   , Workload: 1 , Epsilon: 0.61, Reward: 0.00        
Episode: 54   , Workload: 0 , Epsilon: 0.61, Reward: 0.00        
Episode: 55   , Workload: 1 , Epsilon: 0.60, Reward: 0.00        
Episode: 56   , Workload: 0 , Epsilon: 0.60, Reward: 4874.25     
Episode: 57   , Workload: 1 , Epsilon: 0.59, Reward: 0.00        
Episode: 58   , Workload: 0 , Epsilon: 0.59, Reward: 6231.29     
Episode: 59   , Workload: 1 , Epsilon: 0.58, Reward: 0.00        
Episode: 60   , Workload: 0 , Epsilon: 0.58, Reward: 5946.33     
Episode: 61   , Workload: 1 , Epsilon: 0.57, Reward: 0.00        
Episode: 62   , Workload: 0 , Epsilon: 0.57, Reward: 6078.51     
Episode: 63   , Workload: 1 , Epsilon: 0.56, Reward: 0.00        
Episode: 64   , Workload: 0 , Epsilon: 0.56, Reward: 7097.72     
Episode: 65   , Workload: 1 , Epsilon: 0.55, Reward: 0.00        
Episode: 66   , Workload: 0 , Epsilon: 0.55, Reward: 6901.97     
Episode: 67   , Workload: 1 , Epsilon: 0.54, Reward: 0.00        
Episode: 68   , Workload: 0 , Epsilon: 0.54, Reward: 4387.86     
Episode: 69   , Workload: 1 , Epsilon: 0.54, Reward: 0.00        
Episode: 70   , Workload: 0 , Epsilon: 0.53, Reward: 0.00        
Episode: 71   , Workload: 1 , Epsilon: 0.53, Reward: 0.00        
Episode: 72   , Workload: 0 , Epsilon: 0.52, Reward: 0.00        
Episode: 73   , Workload: 1 , Epsilon: 0.52, Reward: 0.00        
Episode: 74   , Workload: 0 , Epsilon: 0.51, Reward: 0.00        
Episode: 75   , Workload: 1 , Epsilon: 0.51, Reward: 0.00        
Episode: 76   , Workload: 0 , Epsilon: 0.51, Reward: 0.00        
Episode: 77   , Workload: 1 , Epsilon: 0.50, Reward: 0.00        
Episode: 78   , Workload: 0 , Epsilon: 0.50, Reward: 0.00        
Episode: 79   , Workload: 1 , Epsilon: 0.49, Reward: 0.00        
Episode: 80   , Workload: 0 , Epsilon: 0.49, Reward: 0.00        
Episode: 81   , Workload: 1 , Epsilon: 0.48, Reward: 0.00        
Episode: 82   , Workload: 0 , Epsilon: 0.48, Reward: 0.00        
Episode: 83   , Workload: 1 , Epsilon: 0.48, Reward: 0.00        
Episode: 84   , Workload: 0 , Epsilon: 0.47, Reward: 0.00        
Episode: 85   , Workload: 1 , Epsilon: 0.47, Reward: 0.00        
Episode: 86   , Workload: 0 , Epsilon: 0.47, Reward: 0.00        
Episode: 87   , Workload: 1 , Epsilon: 0.46, Reward: 0.00        
Episode: 88   , Workload: 0 , Epsilon: 0.46, Reward: 0.00        
Episode: 89   , Workload: 1 , Epsilon: 0.45, Reward: 0.00        
Episode: 90   , Workload: 0 , Epsilon: 0.45, Reward: 0.00        
Episode: 91   , Workload: 1 , Epsilon: 0.45, Reward: 0.00        
Episode: 92   , Workload: 0 , Epsilon: 0.44, Reward: 0.00        
