Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 1714761.25  
Episode: 1    , Workload: 1 , Epsilon: 0.95, Reward: 808987.89   
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 2069252.56  
Episode: 3    , Workload: 1 , Epsilon: 0.93, Reward: 690118.57   
Episode: 4    , Workload: 0 , Epsilon: 0.93, Reward: 1829363.09  
Episode: 5    , Workload: 1 , Epsilon: 0.92, Reward: 689728.47   
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 1618464.33  
Episode: 7    , Workload: 1 , Epsilon: 0.90, Reward: 692773.71   
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 1939115.27  
Episode: 9    , Workload: 1 , Epsilon: 0.89, Reward: 754263.00   
Episode: 10   , Workload: 0 , Epsilon: 0.88, Reward: 1724164.95  
Episode: 11   , Workload: 1 , Epsilon: 0.87, Reward: 706291.45   
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 1299211.47  
Episode: 13   , Workload: 1 , Epsilon: 0.86, Reward: 700964.19   
Episode: 14   , Workload: 0 , Epsilon: 0.85, Reward: 1440735.83  
Episode: 15   , Workload: 1 , Epsilon: 0.84, Reward: 726980.51   
Episode: 16   , Workload: 0 , Epsilon: 0.84, Reward: 1393569.29  
Episode: 17   , Workload: 1 , Epsilon: 0.83, Reward: 836972.94   
Episode: 18   , Workload: 0 , Epsilon: 0.82, Reward: 1687791.73  
Episode: 19   , Workload: 1 , Epsilon: 0.81, Reward: 833928.14   
Episode: 20   , Workload: 0 , Epsilon: 0.81, Reward: 1254510.61  
Episode: 21   , Workload: 1 , Epsilon: 0.80, Reward: 676436.80   
Episode: 22   , Workload: 0 , Epsilon: 0.79, Reward: 1645906.95  
Episode: 23   , Workload: 1 , Epsilon: 0.79, Reward: 721038.56   
Episode: 24   , Workload: 0 , Epsilon: 0.78, Reward: 2107779.35  
Episode: 25   , Workload: 1 , Epsilon: 0.77, Reward: 743617.83   
Episode: 26   , Workload: 0 , Epsilon: 0.77, Reward: 1982186.55  
Episode: 27   , Workload: 1 , Epsilon: 0.76, Reward: 704772.99   
Episode: 28   , Workload: 0 , Epsilon: 0.75, Reward: 917393.15   
Episode: 29   , Workload: 1 , Epsilon: 0.75, Reward: 676418.27   
Episode: 30   , Workload: 0 , Epsilon: 0.74, Reward: 837361.06   
Episode: 31   , Workload: 1 , Epsilon: 0.74, Reward: 683202.39   
Episode: 32   , Workload: 0 , Epsilon: 0.73, Reward: 1451779.41  
