Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 2078293.82  
Episode: 1    , Workload: 0 , Epsilon: 0.95, Reward: 2260037.24  
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 1778837.70  
Episode: 3    , Workload: 0 , Epsilon: 0.93, Reward: 2057975.04  
Episode: 4    , Workload: 0 , Epsilon: 0.92, Reward: 2235856.25  
Episode: 5    , Workload: 0 , Epsilon: 0.91, Reward: 2265800.29  
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 2548230.85  
Episode: 7    , Workload: 0 , Epsilon: 0.90, Reward: 1120860.23  
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 1124314.58  
Episode: 9    , Workload: 0 , Epsilon: 0.88, Reward: 2137694.88  
Episode: 10   , Workload: 0 , Epsilon: 0.87, Reward: 1234642.94  
Episode: 11   , Workload: 0 , Epsilon: 0.86, Reward: 1367338.89  
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 2143208.88  
Episode: 13   , Workload: 0 , Epsilon: 0.85, Reward: 1518551.64  
Episode: 14   , Workload: 0 , Epsilon: 0.84, Reward: 1924631.12  
Episode: 15   , Workload: 0 , Epsilon: 0.83, Reward: 2077154.68  
Episode: 16   , Workload: 0 , Epsilon: 0.82, Reward: 2181503.76  
Episode: 17   , Workload: 0 , Epsilon: 0.82, Reward: 1197947.36  
Episode: 18   , Workload: 0 , Epsilon: 0.81, Reward: 2035770.73  
Episode: 19   , Workload: 0 , Epsilon: 0.80, Reward: 2067624.83  
Episode: 20   , Workload: 0 , Epsilon: 0.79, Reward: 2097984.51  
Episode: 21   , Workload: 0 , Epsilon: 0.79, Reward: 2266190.93  
Episode: 22   , Workload: 0 , Epsilon: 0.78, Reward: 1775086.21  
Episode: 23   , Workload: 0 , Epsilon: 0.77, Reward: 2057278.57  
Episode: 24   , Workload: 0 , Epsilon: 0.77, Reward: 2235235.87  
Episode: 25   , Workload: 0 , Epsilon: 0.76, Reward: 2274528.75  
Episode: 26   , Workload: 0 , Epsilon: 0.75, Reward: 2556676.49  
Episode: 27   , Workload: 0 , Epsilon: 0.74, Reward: 1115913.05  
Episode: 28   , Workload: 0 , Epsilon: 0.74, Reward: 1127324.43  
Episode: 29   , Workload: 0 , Epsilon: 0.73, Reward: 2136346.17  
Episode: 30   , Workload: 0 , Epsilon: 0.72, Reward: 1233264.61  
Episode: 31   , Workload: 0 , Epsilon: 0.72, Reward: 1377350.47  
Episode: 32   , Workload: 0 , Epsilon: 0.71, Reward: 2144637.67  
Episode: 33   , Workload: 0 , Epsilon: 0.70, Reward: 1524337.08  
Episode: 34   , Workload: 0 , Epsilon: 0.70, Reward: 1925413.48  
Episode: 35   , Workload: 0 , Epsilon: 0.69, Reward: 2078589.19  
Episode: 36   , Workload: 0 , Epsilon: 0.68, Reward: 2177528.99  
Episode: 37   , Workload: 0 , Epsilon: 0.68, Reward: 1202902.83  
Episode: 38   , Workload: 0 , Epsilon: 0.67, Reward: 2041968.55  
Episode: 39   , Workload: 0 , Epsilon: 0.67, Reward: 2061005.15  
Episode: 40   , Workload: 0 , Epsilon: 0.66, Reward: 2069849.19  
Episode: 41   , Workload: 0 , Epsilon: 0.65, Reward: 2265301.40  
