Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 2096265.86  
Episode: 1    , Workload: 0 , Epsilon: 0.95, Reward: 2253203.31  
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 1774873.24  
Episode: 3    , Workload: 0 , Epsilon: 0.93, Reward: 2050040.04  
Episode: 4    , Workload: 0 , Epsilon: 0.92, Reward: 2244005.14  
Episode: 5    , Workload: 0 , Epsilon: 0.91, Reward: 2267009.36  
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 2542279.42  
Episode: 7    , Workload: 0 , Epsilon: 0.90, Reward: 1112383.85  
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 1133088.15  
Episode: 9    , Workload: 0 , Epsilon: 0.88, Reward: 2133070.07  
Episode: 10   , Workload: 0 , Epsilon: 0.87, Reward: 1226556.44  
Episode: 11   , Workload: 0 , Epsilon: 0.86, Reward: 1357871.67  
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 2138661.33  
Episode: 13   , Workload: 0 , Epsilon: 0.85, Reward: 1521073.25  
Episode: 14   , Workload: 0 , Epsilon: 0.84, Reward: 1914002.02  
Episode: 15   , Workload: 0 , Epsilon: 0.83, Reward: 2075033.39  
Episode: 16   , Workload: 0 , Epsilon: 0.82, Reward: 2174429.23  
Episode: 17   , Workload: 0 , Epsilon: 0.82, Reward: 1181974.73  
Episode: 18   , Workload: 0 , Epsilon: 0.81, Reward: 2037966.85  
Episode: 19   , Workload: 0 , Epsilon: 0.80, Reward: 2055108.56  
Episode: 20   , Workload: 0 , Epsilon: 0.79, Reward: 2096298.51  
Episode: 21   , Workload: 0 , Epsilon: 0.79, Reward: 2260700.47  
Episode: 22   , Workload: 0 , Epsilon: 0.78, Reward: 1771040.08  
Episode: 23   , Workload: 0 , Epsilon: 0.77, Reward: 2052313.44  
Episode: 24   , Workload: 0 , Epsilon: 0.77, Reward: 2237392.28  
Episode: 25   , Workload: 0 , Epsilon: 0.76, Reward: 2262764.03  
Episode: 26   , Workload: 0 , Epsilon: 0.75, Reward: 2544896.63  
Episode: 27   , Workload: 0 , Epsilon: 0.74, Reward: 1109487.60  
Episode: 28   , Workload: 0 , Epsilon: 0.74, Reward: 1129147.99  
Episode: 29   , Workload: 0 , Epsilon: 0.73, Reward: 2139705.07  
