Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 1223860.28  
Episode: 1    , Workload: 0 , Epsilon: 0.95, Reward: 1173638.18  
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 1228343.87  
Episode: 3    , Workload: 0 , Epsilon: 0.93, Reward: 1205632.19  
Episode: 4    , Workload: 0 , Epsilon: 0.92, Reward: 1244603.83  
Episode: 5    , Workload: 0 , Epsilon: 0.91, Reward: 1218589.67  
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 1093545.78  
Episode: 7    , Workload: 0 , Epsilon: 0.90, Reward: 1138623.55  
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 1303277.10  
Episode: 9    , Workload: 0 , Epsilon: 0.88, Reward: 1300165.02  
Episode: 10   , Workload: 0 , Epsilon: 0.87, Reward: 1207008.22  
Episode: 11   , Workload: 0 , Epsilon: 0.86, Reward: 1237167.82  
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 1242308.48  
Episode: 13   , Workload: 0 , Epsilon: 0.85, Reward: 1281311.06  
Episode: 14   , Workload: 0 , Epsilon: 0.84, Reward: 1264142.80  
Episode: 15   , Workload: 0 , Epsilon: 0.83, Reward: 1257459.35  
Episode: 16   , Workload: 0 , Epsilon: 0.82, Reward: 1221267.91  
Episode: 17   , Workload: 0 , Epsilon: 0.82, Reward: 1245408.14  
Episode: 18   , Workload: 0 , Epsilon: 0.81, Reward: 1224911.42  
Episode: 19   , Workload: 0 , Epsilon: 0.80, Reward: 1302569.58  
Episode: 20   , Workload: 0 , Epsilon: 0.79, Reward: 1241272.31  
Episode: 21   , Workload: 0 , Epsilon: 0.79, Reward: 1241149.73  
Episode: 22   , Workload: 0 , Epsilon: 0.78, Reward: 1250971.66  
Episode: 23   , Workload: 0 , Epsilon: 0.77, Reward: 1230774.58  
Episode: 24   , Workload: 0 , Epsilon: 0.77, Reward: 1250789.16  
Episode: 25   , Workload: 0 , Epsilon: 0.76, Reward: 1238913.88  
Episode: 26   , Workload: 0 , Epsilon: 0.75, Reward: 1068655.14  
Episode: 27   , Workload: 0 , Epsilon: 0.74, Reward: 1170877.42  
Episode: 28   , Workload: 0 , Epsilon: 0.74, Reward: 1236297.05  
Episode: 29   , Workload: 0 , Epsilon: 0.73, Reward: 1274552.91  
Episode: 30   , Workload: 0 , Epsilon: 0.72, Reward: 1245291.55  
Episode: 31   , Workload: 0 , Epsilon: 0.72, Reward: 1215692.47  
Episode: 32   , Workload: 0 , Epsilon: 0.71, Reward: 1202389.34  
Episode: 33   , Workload: 0 , Epsilon: 0.70, Reward: 1292321.23  
Episode: 34   , Workload: 0 , Epsilon: 0.70, Reward: 1286993.19  
Episode: 35   , Workload: 0 , Epsilon: 0.69, Reward: 1242179.12  
Episode: 36   , Workload: 0 , Epsilon: 0.68, Reward: 1228304.78  
Episode: 37   , Workload: 0 , Epsilon: 0.68, Reward: 1249416.00  
Episode: 38   , Workload: 0 , Epsilon: 0.67, Reward: 1221987.44  
Episode: 39   , Workload: 0 , Epsilon: 0.67, Reward: 1337592.28  
Episode: 40   , Workload: 0 , Epsilon: 0.66, Reward: 1183126.59  
Episode: 41   , Workload: 0 , Epsilon: 0.65, Reward: 1207194.75  
Episode: 42   , Workload: 0 , Epsilon: 0.65, Reward: 1224468.13  
Episode: 43   , Workload: 0 , Epsilon: 0.64, Reward: 1192233.47  
Episode: 44   , Workload: 0 , Epsilon: 0.64, Reward: 1253753.26  
Episode: 45   , Workload: 0 , Epsilon: 0.63, Reward: 1256640.72  
Episode: 46   , Workload: 0 , Epsilon: 0.62, Reward: 1104741.17  
Episode: 47   , Workload: 0 , Epsilon: 0.62, Reward: 1177264.55  
Episode: 48   , Workload: 0 , Epsilon: 0.61, Reward: 1225942.38  
Episode: 49   , Workload: 0 , Epsilon: 0.61, Reward: 1293523.48  
Episode: 50   , Workload: 0 , Epsilon: 0.60, Reward: 1223313.96  
Episode: 51   , Workload: 0 , Epsilon: 0.60, Reward: 1199705.61  
Episode: 52   , Workload: 0 , Epsilon: 0.59, Reward: 1270161.01  
Episode: 53   , Workload: 0 , Epsilon: 0.59, Reward: 1235822.30  
Episode: 54   , Workload: 0 , Epsilon: 0.58, Reward: 1203849.78  
Episode: 55   , Workload: 0 , Epsilon: 0.57, Reward: 1245739.89  
Episode: 56   , Workload: 0 , Epsilon: 0.57, Reward: 1208866.63  
Episode: 57   , Workload: 0 , Epsilon: 0.56, Reward: 1232119.71  
Episode: 58   , Workload: 0 , Epsilon: 0.56, Reward: 1221631.39  
Episode: 59   , Workload: 0 , Epsilon: 0.55, Reward: 1260620.34  
Episode: 60   , Workload: 0 , Epsilon: 0.55, Reward: 1224463.78  
Episode: 61   , Workload: 0 , Epsilon: 0.54, Reward: 1226935.21  
Episode: 62   , Workload: 0 , Epsilon: 0.54, Reward: 1248112.72  
Episode: 63   , Workload: 0 , Epsilon: 0.53, Reward: 1216807.14  
Episode: 64   , Workload: 0 , Epsilon: 0.53, Reward: 1241416.48  
Episode: 65   , Workload: 0 , Epsilon: 0.52, Reward: 1273823.26  
Episode: 66   , Workload: 0 , Epsilon: 0.52, Reward: 1101734.30  
Episode: 67   , Workload: 0 , Epsilon: 0.52, Reward: 1181523.36  
Episode: 68   , Workload: 0 , Epsilon: 0.51, Reward: 1241718.15  
Episode: 69   , Workload: 0 , Epsilon: 0.51, Reward: 1222664.70  
Episode: 70   , Workload: 0 , Epsilon: 0.50, Reward: 1231102.21  
Episode: 71   , Workload: 0 , Epsilon: 0.50, Reward: 1214001.92  
Episode: 72   , Workload: 0 , Epsilon: 0.49, Reward: 1199058.77  
Episode: 73   , Workload: 0 , Epsilon: 0.49, Reward: 1300818.13  
Episode: 74   , Workload: 0 , Epsilon: 0.48, Reward: 1349581.14  
Episode: 75   , Workload: 0 , Epsilon: 0.48, Reward: 1240804.98  
Episode: 76   , Workload: 0 , Epsilon: 0.48, Reward: 1197201.78  
