Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 1095574.18  
Episode: 1    , Workload: 0 , Epsilon: 0.95, Reward: 1031019.64  
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 996650.03   
Episode: 3    , Workload: 0 , Epsilon: 0.93, Reward: 900363.05   
Episode: 4    , Workload: 0 , Epsilon: 0.92, Reward: 924733.90   
Episode: 5    , Workload: 0 , Epsilon: 0.91, Reward: 939635.51   
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 902679.99   
Episode: 7    , Workload: 0 , Epsilon: 0.90, Reward: 931925.74   
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 888461.40   
Episode: 9    , Workload: 0 , Epsilon: 0.88, Reward: 1031456.75  
Episode: 10   , Workload: 0 , Epsilon: 0.87, Reward: 871263.63   
Episode: 11   , Workload: 0 , Epsilon: 0.86, Reward: 1050849.90  
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 966453.48   
Episode: 13   , Workload: 0 , Epsilon: 0.85, Reward: 1080142.16  
Episode: 14   , Workload: 0 , Epsilon: 0.84, Reward: 971301.99   
Episode: 15   , Workload: 0 , Epsilon: 0.83, Reward: 1020834.50  
Episode: 16   , Workload: 0 , Epsilon: 0.82, Reward: 885156.54   
Episode: 17   , Workload: 0 , Epsilon: 0.82, Reward: 890405.67   
Episode: 18   , Workload: 0 , Epsilon: 0.81, Reward: 919236.34   
Episode: 19   , Workload: 0 , Epsilon: 0.80, Reward: 898976.34   
Episode: 20   , Workload: 0 , Epsilon: 0.79, Reward: 914070.81   
Episode: 21   , Workload: 0 , Epsilon: 0.79, Reward: 855499.29   
Episode: 22   , Workload: 0 , Epsilon: 0.78, Reward: 1033084.74  
Episode: 23   , Workload: 0 , Epsilon: 0.77, Reward: 907989.00   
Episode: 24   , Workload: 0 , Epsilon: 0.77, Reward: 1092762.59  
Episode: 25   , Workload: 0 , Epsilon: 0.76, Reward: 981466.78   
Episode: 26   , Workload: 0 , Epsilon: 0.75, Reward: 1091687.38  
Episode: 27   , Workload: 0 , Epsilon: 0.74, Reward: 1012179.28  
Episode: 28   , Workload: 0 , Epsilon: 0.74, Reward: 964184.05   
Episode: 29   , Workload: 0 , Epsilon: 0.73, Reward: 872536.92   
Episode: 30   , Workload: 0 , Epsilon: 0.72, Reward: 942011.53   
Episode: 31   , Workload: 0 , Epsilon: 0.72, Reward: 912273.87   
Episode: 32   , Workload: 0 , Epsilon: 0.71, Reward: 927072.34   
Episode: 33   , Workload: 0 , Epsilon: 0.70, Reward: 920582.02   
Episode: 34   , Workload: 0 , Epsilon: 0.70, Reward: 908435.47   
Episode: 35   , Workload: 0 , Epsilon: 0.69, Reward: 1015340.96  
Episode: 36   , Workload: 0 , Epsilon: 0.68, Reward: 906281.07   
Episode: 37   , Workload: 0 , Epsilon: 0.68, Reward: 1046802.88  
