Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 635104.39   
Episode: 1    , Workload: 0 , Epsilon: 0.95, Reward: 580714.26   
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 581962.64   
Episode: 3    , Workload: 0 , Epsilon: 0.93, Reward: 636933.80   
Episode: 4    , Workload: 0 , Epsilon: 0.92, Reward: 552824.22   
Episode: 5    , Workload: 0 , Epsilon: 0.91, Reward: 629232.45   
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 538911.05   
Episode: 7    , Workload: 0 , Epsilon: 0.90, Reward: 995528.39   
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 135656.43   
Episode: 9    , Workload: 0 , Epsilon: 0.88, Reward: 572309.10   
Episode: 10   , Workload: 0 , Epsilon: 0.87, Reward: 646021.68   
Episode: 11   , Workload: 0 , Epsilon: 0.86, Reward: 673075.91   
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 759972.84   
Episode: 13   , Workload: 0 , Epsilon: 0.85, Reward: 703748.69   
Episode: 14   , Workload: 0 , Epsilon: 0.84, Reward: 690876.71   
Episode: 15   , Workload: 0 , Epsilon: 0.83, Reward: 575469.22   
Episode: 16   , Workload: 0 , Epsilon: 0.82, Reward: 538811.82   
Episode: 17   , Workload: 0 , Epsilon: 0.82, Reward: 623487.47   
Episode: 18   , Workload: 0 , Epsilon: 0.81, Reward: 608897.85   
Episode: 19   , Workload: 0 , Epsilon: 0.80, Reward: 591050.30   
Episode: 20   , Workload: 0 , Epsilon: 0.79, Reward: 592119.20   
Episode: 21   , Workload: 0 , Epsilon: 0.79, Reward: 1151718.84  
Episode: 22   , Workload: 0 , Epsilon: 0.78, Reward: 178860.29   
Episode: 23   , Workload: 0 , Epsilon: 0.77, Reward: 758319.06   
Episode: 24   , Workload: 0 , Epsilon: 0.77, Reward: 642794.55   
Episode: 25   , Workload: 0 , Epsilon: 0.76, Reward: 654964.28   
Episode: 26   , Workload: 0 , Epsilon: 0.75, Reward: 645973.04   
Episode: 27   , Workload: 0 , Epsilon: 0.74, Reward: 665002.56   
Episode: 28   , Workload: 0 , Epsilon: 0.74, Reward: 557767.37   
Episode: 29   , Workload: 0 , Epsilon: 0.73, Reward: 653518.18   
Episode: 30   , Workload: 0 , Epsilon: 0.72, Reward: 579301.88   
Episode: 31   , Workload: 0 , Epsilon: 0.72, Reward: 717605.32   
Episode: 32   , Workload: 0 , Epsilon: 0.71, Reward: 735535.19   
Episode: 33   , Workload: 0 , Epsilon: 0.70, Reward: 586828.21   
Episode: 34   , Workload: 0 , Epsilon: 0.70, Reward: 674297.97   
Episode: 35   , Workload: 0 , Epsilon: 0.69, Reward: 992134.12   
Episode: 36   , Workload: 0 , Epsilon: 0.68, Reward: 297723.37   
Episode: 37   , Workload: 0 , Epsilon: 0.68, Reward: 660654.52   
Episode: 38   , Workload: 0 , Epsilon: 0.67, Reward: 654467.65   
Episode: 39   , Workload: 0 , Epsilon: 0.67, Reward: 703953.57   
Episode: 40   , Workload: 0 , Epsilon: 0.66, Reward: 648252.33   
Episode: 41   , Workload: 0 , Epsilon: 0.65, Reward: 673152.05   
Episode: 42   , Workload: 0 , Epsilon: 0.65, Reward: 550919.94   
Episode: 43   , Workload: 0 , Epsilon: 0.64, Reward: 631805.44   
Episode: 44   , Workload: 0 , Epsilon: 0.64, Reward: 590945.46   
Episode: 45   , Workload: 0 , Epsilon: 0.63, Reward: 678163.50   
Episode: 46   , Workload: 0 , Epsilon: 0.62, Reward: 608914.32   
Episode: 47   , Workload: 0 , Epsilon: 0.62, Reward: 582100.35   
Episode: 48   , Workload: 0 , Epsilon: 0.61, Reward: 817412.58   
Episode: 49   , Workload: 0 , Epsilon: 0.61, Reward: 119327.32   
Episode: 50   , Workload: 0 , Epsilon: 0.60, Reward: 505674.65   
Episode: 51   , Workload: 0 , Epsilon: 0.60, Reward: 674715.71   
Episode: 52   , Workload: 0 , Epsilon: 0.59, Reward: 728370.19   
Episode: 53   , Workload: 0 , Epsilon: 0.59, Reward: 745353.44   
Episode: 54   , Workload: 0 , Epsilon: 0.58, Reward: 705621.18   
Episode: 55   , Workload: 0 , Epsilon: 0.57, Reward: 663181.79   
Episode: 56   , Workload: 0 , Epsilon: 0.57, Reward: 576891.89   
Episode: 57   , Workload: 0 , Epsilon: 0.56, Reward: 611315.10   
Episode: 58   , Workload: 0 , Epsilon: 0.56, Reward: 611789.96   
Episode: 59   , Workload: 0 , Epsilon: 0.55, Reward: 665058.44   
Episode: 60   , Workload: 0 , Epsilon: 0.55, Reward: 630135.09   
Episode: 61   , Workload: 0 , Epsilon: 0.54, Reward: 544618.77   
Episode: 62   , Workload: 0 , Epsilon: 0.54, Reward: 898590.42   
Episode: 63   , Workload: 0 , Epsilon: 0.53, Reward: 123372.03   
Episode: 64   , Workload: 0 , Epsilon: 0.53, Reward: 562022.24   
Episode: 65   , Workload: 0 , Epsilon: 0.52, Reward: 682938.82   
Episode: 66   , Workload: 0 , Epsilon: 0.52, Reward: 743171.03   
Episode: 67   , Workload: 0 , Epsilon: 0.52, Reward: 728151.33   
Episode: 68   , Workload: 0 , Epsilon: 0.51, Reward: 694972.53   
Episode: 69   , Workload: 0 , Epsilon: 0.51, Reward: 671649.06   
Episode: 70   , Workload: 0 , Epsilon: 0.50, Reward: 581377.06   
Episode: 71   , Workload: 0 , Epsilon: 0.50, Reward: 602023.30   
Episode: 72   , Workload: 0 , Epsilon: 0.49, Reward: 645760.33   
Episode: 73   , Workload: 0 , Epsilon: 0.49, Reward: 590507.98   
Episode: 74   , Workload: 0 , Epsilon: 0.48, Reward: 613202.74   
Episode: 75   , Workload: 0 , Epsilon: 0.48, Reward: 561439.15   
Episode: 76   , Workload: 0 , Epsilon: 0.48, Reward: 923888.44   
Episode: 77   , Workload: 0 , Epsilon: 0.47, Reward: 128417.86   
Episode: 78   , Workload: 0 , Epsilon: 0.47, Reward: 650736.99   
Episode: 79   , Workload: 0 , Epsilon: 0.46, Reward: 676357.55   
Episode: 80   , Workload: 0 , Epsilon: 0.46, Reward: 794554.15   
Episode: 81   , Workload: 0 , Epsilon: 0.45, Reward: 816977.02   
Episode: 82   , Workload: 0 , Epsilon: 0.45, Reward: 740174.33   
Episode: 83   , Workload: 0 , Epsilon: 0.45, Reward: 671561.24   
Episode: 84   , Workload: 0 , Epsilon: 0.44, Reward: 628630.47   
