Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 892460.63   
Episode: 1    , Workload: 0 , Epsilon: 0.95, Reward: 899444.05   
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 973333.86   
Episode: 3    , Workload: 0 , Epsilon: 0.93, Reward: 883525.05   
Episode: 4    , Workload: 0 , Epsilon: 0.92, Reward: 841854.00   
Episode: 5    , Workload: 0 , Epsilon: 0.91, Reward: 882622.52   
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 836352.18   
Episode: 7    , Workload: 0 , Epsilon: 0.90, Reward: 985877.86   
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 937035.65   
Episode: 9    , Workload: 0 , Epsilon: 0.88, Reward: 938138.11   
Episode: 10   , Workload: 0 , Epsilon: 0.87, Reward: 921876.09   
Episode: 11   , Workload: 0 , Epsilon: 0.86, Reward: 887357.21   
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 1067737.51  
Episode: 13   , Workload: 0 , Epsilon: 0.85, Reward: 874047.37   
Episode: 14   , Workload: 0 , Epsilon: 0.84, Reward: 1072700.09  
Episode: 15   , Workload: 0 , Epsilon: 0.83, Reward: 1043662.34  
Episode: 16   , Workload: 0 , Epsilon: 0.82, Reward: 961571.62   
Episode: 17   , Workload: 0 , Epsilon: 0.82, Reward: 942517.64   
Episode: 18   , Workload: 0 , Epsilon: 0.81, Reward: 906394.91   
Episode: 19   , Workload: 0 , Epsilon: 0.80, Reward: 860186.09   
Episode: 20   , Workload: 0 , Epsilon: 0.79, Reward: 955838.77   
Episode: 21   , Workload: 0 , Epsilon: 0.79, Reward: 837251.35   
Episode: 22   , Workload: 0 , Epsilon: 0.78, Reward: 904340.16   
Episode: 23   , Workload: 0 , Epsilon: 0.77, Reward: 812479.84   
Episode: 24   , Workload: 0 , Epsilon: 0.77, Reward: 881324.21   
Episode: 25   , Workload: 0 , Epsilon: 0.76, Reward: 955312.65   
Episode: 26   , Workload: 0 , Epsilon: 0.75, Reward: 919913.87   
Episode: 27   , Workload: 0 , Epsilon: 0.74, Reward: 963876.12   
Episode: 28   , Workload: 0 , Epsilon: 0.74, Reward: 971643.49   
Episode: 29   , Workload: 0 , Epsilon: 0.73, Reward: 973397.01   
Episode: 30   , Workload: 0 , Epsilon: 0.72, Reward: 1120849.19  
Episode: 31   , Workload: 0 , Epsilon: 0.72, Reward: 1053772.17  
Episode: 32   , Workload: 0 , Epsilon: 0.71, Reward: 967431.96   
Episode: 33   , Workload: 0 , Epsilon: 0.70, Reward: 983333.96   
Episode: 34   , Workload: 0 , Epsilon: 0.70, Reward: 959105.40   
Episode: 35   , Workload: 0 , Epsilon: 0.69, Reward: 845086.82   
Episode: 36   , Workload: 0 , Epsilon: 0.68, Reward: 870839.51   
Episode: 37   , Workload: 0 , Epsilon: 0.68, Reward: 888748.01   
Episode: 38   , Workload: 0 , Epsilon: 0.67, Reward: 873186.84   
Episode: 39   , Workload: 0 , Epsilon: 0.67, Reward: 883810.11   
Episode: 40   , Workload: 0 , Epsilon: 0.66, Reward: 795860.97   
Episode: 41   , Workload: 0 , Epsilon: 0.65, Reward: 893021.26   
Episode: 42   , Workload: 0 , Epsilon: 0.65, Reward: 1075071.52  
Episode: 43   , Workload: 0 , Epsilon: 0.64, Reward: 864234.18   
Episode: 44   , Workload: 0 , Epsilon: 0.64, Reward: 1072731.90  
Episode: 45   , Workload: 0 , Epsilon: 0.63, Reward: 974121.14   
Episode: 46   , Workload: 0 , Epsilon: 0.62, Reward: 941559.43   
Episode: 47   , Workload: 0 , Epsilon: 0.62, Reward: 1051961.04  
Episode: 48   , Workload: 0 , Epsilon: 0.61, Reward: 992166.98   
Episode: 49   , Workload: 0 , Epsilon: 0.61, Reward: 988414.99   
Episode: 50   , Workload: 0 , Epsilon: 0.60, Reward: 1018372.79  
Episode: 51   , Workload: 0 , Epsilon: 0.60, Reward: 946539.71   
Episode: 52   , Workload: 0 , Epsilon: 0.59, Reward: 971741.91   
Episode: 53   , Workload: 0 , Epsilon: 0.59, Reward: 855147.19   
Episode: 54   , Workload: 0 , Epsilon: 0.58, Reward: 875239.94   
Episode: 55   , Workload: 0 , Epsilon: 0.57, Reward: 854820.98   
Episode: 56   , Workload: 0 , Epsilon: 0.57, Reward: 891917.05   
Episode: 57   , Workload: 0 , Epsilon: 0.56, Reward: 962118.90   
Episode: 58   , Workload: 0 , Epsilon: 0.56, Reward: 913466.18   
Episode: 59   , Workload: 0 , Epsilon: 0.55, Reward: 1030150.68  
Episode: 60   , Workload: 0 , Epsilon: 0.55, Reward: 955113.57   
Episode: 61   , Workload: 0 , Epsilon: 0.54, Reward: 965723.67   
Episode: 62   , Workload: 0 , Epsilon: 0.54, Reward: 892642.42   
Episode: 63   , Workload: 0 , Epsilon: 0.53, Reward: 980790.57   
Episode: 64   , Workload: 0 , Epsilon: 0.53, Reward: 1000360.77  
Episode: 65   , Workload: 0 , Epsilon: 0.52, Reward: 1028457.12  
Episode: 66   , Workload: 0 , Epsilon: 0.52, Reward: 985239.89   
Episode: 67   , Workload: 0 , Epsilon: 0.52, Reward: 961397.00   
Episode: 68   , Workload: 0 , Epsilon: 0.51, Reward: 991049.89   
Episode: 69   , Workload: 0 , Epsilon: 0.51, Reward: 888192.12   
Episode: 70   , Workload: 0 , Epsilon: 0.50, Reward: 909143.25   
Episode: 71   , Workload: 0 , Epsilon: 0.50, Reward: 964043.56   
Episode: 72   , Workload: 0 , Epsilon: 0.49, Reward: 877775.95   
Episode: 73   , Workload: 0 , Epsilon: 0.49, Reward: 909021.46   
Episode: 74   , Workload: 0 , Epsilon: 0.48, Reward: 939033.00   
Episode: 75   , Workload: 0 , Epsilon: 0.48, Reward: 832727.88   
Episode: 76   , Workload: 0 , Epsilon: 0.48, Reward: 986497.63   
Episode: 77   , Workload: 0 , Epsilon: 0.47, Reward: 956146.09   
Episode: 78   , Workload: 0 , Epsilon: 0.47, Reward: 900844.29   
Episode: 79   , Workload: 0 , Epsilon: 0.46, Reward: 982499.54   
Episode: 80   , Workload: 0 , Epsilon: 0.46, Reward: 996719.22   
