Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 569798.79   
Episode: 1    , Workload: 0 , Epsilon: 0.95, Reward: 680385.99   
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 639932.98   
Episode: 3    , Workload: 0 , Epsilon: 0.93, Reward: 746202.47   
Episode: 4    , Workload: 0 , Epsilon: 0.92, Reward: 500905.89   
Episode: 5    , Workload: 0 , Epsilon: 0.91, Reward: 524671.81   
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 734117.87   
Episode: 7    , Workload: 0 , Epsilon: 0.90, Reward: 761550.57   
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 584421.60   
Episode: 9    , Workload: 0 , Epsilon: 0.88, Reward: 372039.86   
Episode: 10   , Workload: 0 , Epsilon: 0.87, Reward: 520426.67   
Episode: 11   , Workload: 0 , Epsilon: 0.86, Reward: 773680.42   
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 741790.29   
Episode: 13   , Workload: 0 , Epsilon: 0.85, Reward: 483283.74   
Episode: 14   , Workload: 0 , Epsilon: 0.84, Reward: 775678.98   
Episode: 15   , Workload: 0 , Epsilon: 0.83, Reward: 559870.41   
Episode: 16   , Workload: 0 , Epsilon: 0.82, Reward: 495341.81   
Episode: 17   , Workload: 0 , Epsilon: 0.82, Reward: 474691.12   
Episode: 18   , Workload: 0 , Epsilon: 0.81, Reward: 477799.08   
Episode: 19   , Workload: 0 , Epsilon: 0.80, Reward: 564883.12   
Episode: 20   , Workload: 0 , Epsilon: 0.79, Reward: 931502.42   
Episode: 21   , Workload: 0 , Epsilon: 0.79, Reward: 526779.77   
Episode: 22   , Workload: 0 , Epsilon: 0.78, Reward: 627219.81   
Episode: 23   , Workload: 0 , Epsilon: 0.77, Reward: 621468.64   
Episode: 24   , Workload: 0 , Epsilon: 0.77, Reward: 526840.91   
Episode: 25   , Workload: 0 , Epsilon: 0.76, Reward: 727103.52   
Episode: 26   , Workload: 0 , Epsilon: 0.75, Reward: 573538.23   
Episode: 27   , Workload: 0 , Epsilon: 0.74, Reward: 576349.89   
Episode: 28   , Workload: 0 , Epsilon: 0.74, Reward: 553931.84   
Episode: 29   , Workload: 0 , Epsilon: 0.73, Reward: 640900.24   
