Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 873629.77   
Episode: 1    , Workload: 0 , Epsilon: 0.95, Reward: 905086.68   
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 809715.02   
Episode: 3    , Workload: 0 , Epsilon: 0.93, Reward: 945137.96   
Episode: 4    , Workload: 0 , Epsilon: 0.92, Reward: 801584.87   
Episode: 5    , Workload: 0 , Epsilon: 0.91, Reward: 910086.29   
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 781601.19   
Episode: 7    , Workload: 0 , Epsilon: 0.90, Reward: 868511.89   
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 797250.50   
Episode: 9    , Workload: 0 , Epsilon: 0.88, Reward: 910360.44   
Episode: 10   , Workload: 0 , Epsilon: 0.87, Reward: 904622.92   
Episode: 11   , Workload: 0 , Epsilon: 0.86, Reward: 856528.80   
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 839485.72   
Episode: 13   , Workload: 0 , Epsilon: 0.85, Reward: 834785.64   
Episode: 14   , Workload: 0 , Epsilon: 0.84, Reward: 870526.79   
Episode: 15   , Workload: 0 , Epsilon: 0.83, Reward: 811454.81   
Episode: 16   , Workload: 0 , Epsilon: 0.82, Reward: 854031.26   
Episode: 17   , Workload: 0 , Epsilon: 0.82, Reward: 904698.84   
Episode: 18   , Workload: 0 , Epsilon: 0.81, Reward: 912511.65   
Episode: 19   , Workload: 0 , Epsilon: 0.80, Reward: 737724.71   
Episode: 20   , Workload: 0 , Epsilon: 0.79, Reward: 966361.17   
Episode: 21   , Workload: 0 , Epsilon: 0.79, Reward: 767138.27   
Episode: 22   , Workload: 0 , Epsilon: 0.78, Reward: 822495.24   
Episode: 23   , Workload: 0 , Epsilon: 0.77, Reward: 871869.10   
Episode: 24   , Workload: 0 , Epsilon: 0.77, Reward: 964356.43   
Episode: 25   , Workload: 0 , Epsilon: 0.76, Reward: 797840.82   
Episode: 26   , Workload: 0 , Epsilon: 0.75, Reward: 796804.72   
Episode: 27   , Workload: 0 , Epsilon: 0.74, Reward: 829155.06   
Episode: 28   , Workload: 0 , Epsilon: 0.74, Reward: 732952.01   
Episode: 29   , Workload: 0 , Epsilon: 0.73, Reward: 851768.03   
Episode: 30   , Workload: 0 , Epsilon: 0.72, Reward: 820816.44   
Episode: 31   , Workload: 0 , Epsilon: 0.72, Reward: 822143.50   
Episode: 32   , Workload: 0 , Epsilon: 0.71, Reward: 833042.42   
Episode: 33   , Workload: 0 , Epsilon: 0.70, Reward: 878360.53   
Episode: 34   , Workload: 0 , Epsilon: 0.70, Reward: 907779.65   
Episode: 35   , Workload: 0 , Epsilon: 0.69, Reward: 998625.18   
Episode: 36   , Workload: 0 , Epsilon: 0.68, Reward: 752945.18   
Episode: 37   , Workload: 0 , Epsilon: 0.68, Reward: 883100.74   
Episode: 38   , Workload: 0 , Epsilon: 0.67, Reward: 776584.86   
Episode: 39   , Workload: 0 , Epsilon: 0.67, Reward: 802764.51   
Episode: 40   , Workload: 0 , Epsilon: 0.66, Reward: 815142.68   
Episode: 41   , Workload: 0 , Epsilon: 0.65, Reward: 724936.52   
Episode: 42   , Workload: 0 , Epsilon: 0.65, Reward: 834057.42   
Episode: 43   , Workload: 0 , Epsilon: 0.64, Reward: 831071.95   
Episode: 44   , Workload: 0 , Epsilon: 0.64, Reward: 861027.34   
Episode: 45   , Workload: 0 , Epsilon: 0.63, Reward: 818141.30   
Episode: 46   , Workload: 0 , Epsilon: 0.62, Reward: 824603.60   
Episode: 47   , Workload: 0 , Epsilon: 0.62, Reward: 794558.61   
Episode: 48   , Workload: 0 , Epsilon: 0.61, Reward: 796520.92   
Episode: 49   , Workload: 0 , Epsilon: 0.61, Reward: 897002.44   
Episode: 50   , Workload: 0 , Epsilon: 0.60, Reward: 850941.33   
Episode: 51   , Workload: 0 , Epsilon: 0.60, Reward: 948279.19   
Episode: 52   , Workload: 0 , Epsilon: 0.59, Reward: 816235.47   
Episode: 53   , Workload: 0 , Epsilon: 0.59, Reward: 779797.95   
Episode: 54   , Workload: 0 , Epsilon: 0.58, Reward: 955248.59   
Episode: 55   , Workload: 0 , Epsilon: 0.57, Reward: 787402.06   
Episode: 56   , Workload: 0 , Epsilon: 0.57, Reward: 892338.91   
Episode: 57   , Workload: 0 , Epsilon: 0.56, Reward: 783437.18   
Episode: 58   , Workload: 0 , Epsilon: 0.56, Reward: 981556.65   
Episode: 59   , Workload: 0 , Epsilon: 0.55, Reward: 831627.60   
Episode: 60   , Workload: 0 , Epsilon: 0.55, Reward: 907427.26   
Episode: 61   , Workload: 0 , Epsilon: 0.54, Reward: 967086.24   
Episode: 62   , Workload: 0 , Epsilon: 0.54, Reward: 797527.96   
Episode: 63   , Workload: 0 , Epsilon: 0.53, Reward: 903249.18   
Episode: 64   , Workload: 0 , Epsilon: 0.53, Reward: 918854.74   
Episode: 65   , Workload: 0 , Epsilon: 0.52, Reward: 854816.05   
Episode: 66   , Workload: 0 , Epsilon: 0.52, Reward: 867972.27   
Episode: 67   , Workload: 0 , Epsilon: 0.52, Reward: 832225.52   
Episode: 68   , Workload: 0 , Epsilon: 0.51, Reward: 813114.36   
Episode: 69   , Workload: 0 , Epsilon: 0.51, Reward: 858066.15   
Episode: 70   , Workload: 0 , Epsilon: 0.50, Reward: 829720.16   
Episode: 71   , Workload: 0 , Epsilon: 0.50, Reward: 906099.28   
Episode: 72   , Workload: 0 , Epsilon: 0.49, Reward: 850314.76   
Episode: 73   , Workload: 0 , Epsilon: 0.49, Reward: 988816.55   
Episode: 74   , Workload: 0 , Epsilon: 0.48, Reward: 928749.76   
Episode: 75   , Workload: 0 , Epsilon: 0.48, Reward: 920545.58   
Episode: 76   , Workload: 0 , Epsilon: 0.48, Reward: 897036.38   
Episode: 77   , Workload: 0 , Epsilon: 0.47, Reward: 886284.97   
Episode: 78   , Workload: 0 , Epsilon: 0.47, Reward: 861388.13   
Episode: 79   , Workload: 0 , Epsilon: 0.46, Reward: 872140.61   
Episode: 80   , Workload: 0 , Epsilon: 0.46, Reward: 895940.85   
Episode: 81   , Workload: 0 , Epsilon: 0.45, Reward: 892784.11   
Episode: 82   , Workload: 0 , Epsilon: 0.45, Reward: 885386.15   
Episode: 83   , Workload: 0 , Epsilon: 0.45, Reward: 781042.68   
Episode: 84   , Workload: 0 , Epsilon: 0.44, Reward: 823667.40   
Episode: 85   , Workload: 0 , Epsilon: 0.44, Reward: 855821.54   
Episode: 86   , Workload: 0 , Epsilon: 0.43, Reward: 815073.80   
Episode: 87   , Workload: 0 , Epsilon: 0.43, Reward: 907065.31   
Episode: 88   , Workload: 0 , Epsilon: 0.43, Reward: 936070.17   
Episode: 89   , Workload: 0 , Epsilon: 0.42, Reward: 833269.69   
Episode: 90   , Workload: 0 , Epsilon: 0.42, Reward: 850609.82   
Episode: 91   , Workload: 0 , Epsilon: 0.42, Reward: 873997.86   
Episode: 92   , Workload: 0 , Epsilon: 0.41, Reward: 812553.10   
Episode: 93   , Workload: 0 , Epsilon: 0.41, Reward: 829629.67   
Episode: 94   , Workload: 0 , Epsilon: 0.41, Reward: 875526.93   
Episode: 95   , Workload: 0 , Epsilon: 0.40, Reward: 864423.37   
Episode: 96   , Workload: 0 , Epsilon: 0.40, Reward: 892386.04   
Episode: 97   , Workload: 0 , Epsilon: 0.39, Reward: 948868.83   
Episode: 98   , Workload: 0 , Epsilon: 0.39, Reward: 827431.04   
Episode: 99   , Workload: 0 , Epsilon: 0.39, Reward: 827125.40   
