Episode: 0    , Workload: 0 , Epsilon: 0.95, Reward: 925108.72   
Episode: 1    , Workload: 0 , Epsilon: 0.95, Reward: 693361.44   
Episode: 2    , Workload: 0 , Epsilon: 0.94, Reward: 751647.18   
Episode: 3    , Workload: 0 , Epsilon: 0.93, Reward: 710065.91   
Episode: 4    , Workload: 0 , Epsilon: 0.92, Reward: 803221.19   
Episode: 5    , Workload: 0 , Epsilon: 0.91, Reward: 794884.48   
Episode: 6    , Workload: 0 , Epsilon: 0.91, Reward: 899004.06   
Episode: 7    , Workload: 0 , Epsilon: 0.90, Reward: 747354.93   
Episode: 8    , Workload: 0 , Epsilon: 0.89, Reward: 840712.00   
Episode: 9    , Workload: 0 , Epsilon: 0.88, Reward: 736999.64   
Episode: 10   , Workload: 0 , Epsilon: 0.87, Reward: 827538.98   
Episode: 11   , Workload: 0 , Epsilon: 0.86, Reward: 842472.63   
Episode: 12   , Workload: 0 , Epsilon: 0.86, Reward: 857736.05   
Episode: 13   , Workload: 0 , Epsilon: 0.85, Reward: 854966.84   
Episode: 14   , Workload: 0 , Epsilon: 0.84, Reward: 870478.96   
Episode: 15   , Workload: 0 , Epsilon: 0.83, Reward: 836176.48   
Episode: 16   , Workload: 0 , Epsilon: 0.82, Reward: 892017.51   
Episode: 17   , Workload: 0 , Epsilon: 0.82, Reward: 1154982.33  
Episode: 18   , Workload: 0 , Epsilon: 0.81, Reward: 744124.45   
Episode: 19   , Workload: 0 , Epsilon: 0.80, Reward: 1114294.19  
Episode: 20   , Workload: 0 , Epsilon: 0.79, Reward: 868890.03   
Episode: 21   , Workload: 0 , Epsilon: 0.79, Reward: 902862.60   
Episode: 22   , Workload: 0 , Epsilon: 0.78, Reward: 860872.45   
Episode: 23   , Workload: 0 , Epsilon: 0.77, Reward: 1217461.54  
Episode: 24   , Workload: 0 , Epsilon: 0.77, Reward: 868251.28   
Episode: 25   , Workload: 0 , Epsilon: 0.76, Reward: 993009.92   
Episode: 26   , Workload: 0 , Epsilon: 0.75, Reward: 958337.34   
Episode: 27   , Workload: 0 , Epsilon: 0.74, Reward: 1005235.57  
Episode: 28   , Workload: 0 , Epsilon: 0.74, Reward: 648884.81   
Episode: 29   , Workload: 0 , Epsilon: 0.73, Reward: 980363.74   
